,depart_airport,depart_date,depart_time,arrival_time,arrival_date,dest_airport,airline
505,Alice International Airport - Alice,2022-06-29,15:29,21:15,2022-06-29,Mianyang Nanjiao Airport - Mianyang,Air Paradise International
506,Tumut Airport - nan,2022-05-23,16:20,20:41,2022-05-23,Rodríguez Ballón International Airport - Arequipa,Olympic Airways
507,Wittman Regional Airport - Oshkosh,2022-06-12,02:36,03:27,2022-06-12,Stockholm Västerås Airport - Stockholm / Västerås,Our Airline
508,Sri Guru Ram Dass Jee International Airport - Amritsar,2022-11-10,15:53,16:14,2022-11-10,Gioia Del Colle Air Base - Gioia Del Colle (BA),Polar Air Cargo
509,Reales Tamarindos Airport - Portoviejo,2022-07-18,11:21,17:17,2022-07-18,Yamoussoukro Airport - Yamoussoukro,National Jet Systems
510,Webequie Airport - Webequie,2022-10-23,03:56,09:35,2022-10-23,Ängelholm-Helsingborg Airport - Ängelholm,Our Airline
511,Jacareacanga Airport - Jacareacanga,2022-11-30,11:28,14:32,2022-11-30,Oksywie Military Air Base - Gdynia,Jetstar Asia
512,Limoges Airport - Limoges/Bellegarde,2022-08-01,02:51,04:45,2022-08-01,Morombe Airport - Morombe,Indonesia AirAsia
513,Cold Bay Airport - Cold Bay,2022-05-21,10:16,10:36,2022-05-21,Surat Airport - nan,Tianjin Airlines
514,King Feisal Air Base - Al-Jafr,2022-08-26,19:55,02:22,2022-08-26,Bethel Airport - Bethel,China Eastern Airlines
515,Jiansanjiang Shidi Airport - Jiansanjiang,2022-11-18,14:18,15:22,2022-11-18,Asaba International Airport - Asaba,Citilink Indonesia
516,Clayton J Lloyd International Airport - The Valley,2022-08-21,14:27,15:57,2022-08-21,Danilo Atienza Air Base - Cavite,Jin Air
517,"Zakynthos International Airport ""Dionysios Solomos"" - Zakynthos Island",2022-09-06,02:24,07:39,2022-09-06,Istres Le Tubé Air Base - Istres/Le Tubé,Virgin Australia
518,Twente Airport - Enschede,2022-05-18,02:46,04:32,2022-05-18,Clayton J Lloyd International Airport - The Valley,LATAM Airlines
519,"Tromsø Airport, Langnes - Tromsø",2022-06-25,09:27,14:19,2022-06-25,CLICK HERE TO APPLY FOR URGENT LOAN - nan,Lufthansa German Airlines
520,Soltsy-2 Air Base - Soltsy,2022-10-05,17:12,21:02,2022-10-05,M'Vengue El Hadj Omar Bongo Ondimba International Airport - Franceville,Flying Tiger Line
521,Dollyar Air Base - Dollyar,2022-11-29,21:49,02:05,2022-11-29,"Fagernes Airport, Leirin - Fagernes",Scoot Tigerair
522,Luhansk International Airport - Luhansk,2022-08-01,21:02,01:16,2022-08-01,Antwerp International Airport (Deurne) - Antwerp,Sichuan Airlines
523,Zenata – Messali El Hadj Airport - Tlemcen,2022-07-11,08:45,11:21,2022-07-11,Gobernador Horacio Guzman International Airport - San Salvador de Jujuy,Cook Islands International
524,Ralph Wenz Field - Pinedale,2022-10-12,09:23,10:00,2022-10-12,General WM J Fox Airfield - Lancaster,Royal Tongan Airlines
525,Mohe Gulian Airport - Mohe,2022-11-01,09:05,15:34,2022-11-01,Baise Youjiang Airport - Baise (Tianyang),Austrian Airlines
526,Paulatuk (Nora Aliqatchialuk Ruben) Airport - Paulatuk,2022-12-03,15:01,21:31,2022-12-03,Presidente Juscelino Kubitschek International Airport - Brasília,Pacific Air Express
527,Kyurdamir Air Base - Kyurdamir,2022-05-24,20:33,00:29,2022-05-24,Nevatim Air Base - Beersheba,Japan Airlines
528,Clyde River Airport - Clyde River,2022-11-20,19:50,00:29,2022-11-20,Jacareacanga Airport - Jacareacanga,Continental Micronesia
529,Kuusamo Airport - Kuusamo,2022-10-06,02:43,05:49,2022-10-06,Billund Airport - Billund,United Parcel Service
530,Zhovtneve Air Base - Bolgrad,2022-06-21,01:13,03:51,2022-06-21,Buffalo Range Airport - Chiredzi,LATAM Airlines
531,Rajahmundry Airport - Rajahmundry,2022-12-08,04:17,09:45,2022-12-08,Podkamennaya Tunguska Airport - Bor,Australia Asia Airlines
532,Naval Station Mayport (Admiral David L. Mcdonald Field) - Mayport,2022-05-02,10:58,16:07,2022-05-02,Gainesville Regional Airport - Gainesville,Federal Express Corporation
533,"Fuyang Xiguan Airport - Yingzhou, Fuyang",2022-08-07,16:11,17:10,2022-08-07,Boma Lukandu International Airport - Boma,Xiamen Airlines
534,Ørland Airport - Ørland,2022-08-13,06:37,09:05,2022-08-13,General Juan N Alvarez International Airport - Acapulco,Yugoslav Airlines
535,Tabriz International Airport - Tabriz,2022-08-05,06:54,08:11,2022-08-05,Erbil International Airport - Arbil,Swissair
536,Minna Airport - Minna,2022-08-22,19:25,00:45,2022-08-22,Sandspit Airport - Sandspit,South African Airways
537,Farnborough Airport - Farnborough,2022-10-31,16:02,22:26,2022-10-31,Mouilla Ville Airport - Mouila,Tasman Cargo Airlines
538,Las Flores Airport - El Banco,2022-12-15,16:54,21:46,2022-12-15,Teniente Vidal Airport - Coyhaique,Airlines PNG
539,Kalocsa/Foktő Airfield - Kalocsa/Foktő,2022-05-22,13:52,15:51,2022-05-22,Bolzano Airport - Bolzano,Donghai Airlines
540,Monbetsu Airport - Monbetsu,2022-07-18,18:36,01:14,2022-07-18,Brigadeiro Lysias Rodrigues Airport - Palmas,Australian Airlines
541,Staraya Russa Air Base - Staraya Russa,2022-09-02,14:48,20:02,2022-09-02,Jiyanklis Air Base - Abu El Matamir,Aegean Airlines
542,Maturín Airport - Maturín,2022-08-07,13:10,17:42,2022-08-07,Alcantarí Airport - Yamparaez,Japan Airlines
543,Basco Airport - Basco,2022-06-23,08:17,13:22,2022-06-23,London Airport - London,Polynesian Airlines
544,Václav Havel Airport Prague - Prague,2022-09-03,10:44,11:04,2022-09-03,Latina Air Base - Latina,Tigerair
545,Luxembourg-Findel International Airport - Luxembourg,2022-07-20,19:05,19:40,2022-07-20,Santa Maria Public Airport Captain G Allan Hancock Field - Santa Maria,Asiana Airlines
546,"Molde Airport, Årø - Årø",2022-10-23,17:31,23:17,2022-10-23,Mineralnyye Vody Airport - Mineralnyye Vody,Olympic Airways
547,Old Crow Airport - Old Crow,2022-06-02,16:46,19:39,2022-06-02,Dubbo City Regional Airport - Dubbo,Mandarin Airlines
548,Nairobi Wilson Airport - Nairobi,2022-09-27,09:52,12:42,2022-09-27,São Pedro Airport - São Pedro,V Australia
549,Bangoka International Airport - Kisangani,2022-07-03,22:21,02:25,2022-07-03,Sir Barry Bowen Municipal Airport - Belize City,All Nippon Airways
550,St Louis Lambert International Airport - St Louis,2022-12-26,06:28,12:30,2022-12-26,Alxa Left Banner Bayanhot Airport - Bayanhot,EgyptAir
551,Kingston Norman Rogers Airport - Kingston,2022-08-17,21:21,01:56,2022-08-17,Major Brigadeiro Doorgal Borges Airport - Barbacena,Indonesia AirAsia Extra
552,Providenciales International Airport - Providenciales,2022-08-13,21:01,02:39,2022-08-13,Zaragoza Airport - Zaragoza,Virgin Samoa
553,Chania International Airport - Souda,2022-06-01,01:55,07:31,2022-06-01,Hornepayne Municipal Airport - Hornepayne,Flight West Airlines
554,Diyarbakır Airport - Diyarbakır,2022-09-18,02:19,06:16,2022-09-18,Lar Airport - Lar,Sichuan Airlines
555,Manas International Airport - Bishkek,2022-11-20,12:43,13:08,2022-11-20,Broken Hill Airport - Broken Hill,Donghai Airlines
556,San Diego International Airport - San Diego,2022-07-14,21:56,23:49,2022-07-14,Leeuwarden Air Base - Leeuwarden,National Jet Systems
557,Bourges Airport - Bourges,2022-08-22,04:19,05:28,2022-08-22,Palm Springs International Airport - Palm Springs,Garuda Indonesia
558,Aberdeen Regional Airport - Aberdeen,2022-09-30,02:49,05:12,2022-09-30,Kolding Vamdrup Airfield - Kolding / Vamdrup,Martinair Holland
559,Liping Airport - Liping,2022-09-09,20:14,21:26,2022-09-09,Milan Bergamo Airport - Milan,Virgin Samoa
560,Ukhta Airport - Ukhta,2022-05-23,21:29,00:09,2022-05-23,Kulusuk Airport - Kulusuk,Air France
561,Tauranga Airport - Tauranga,2022-08-23,13:08,15:06,2022-08-23,Santa Ana Del Yacuma Airport - Santa Ana del Yacuma,Freedom Air International
562,Lyon-Bron Airport - Lyon/Bron,2022-11-23,11:34,12:48,2022-11-23,Sultan Abdul Aziz Shah International Airport - Subang,Air China
563,Trivandrum International Airport - Thiruvananthapuram,2022-07-18,01:58,04:18,2022-07-18,Delaware County Johnson Field - Muncie,Asiana Airlines
564,Sub Teniente Nestor Arias Airport - San Felipe,2022-10-23,17:37,22:56,2022-10-23,Limbang Airport - Limbang,Air Paradise International
565,Dwangwa Airport - Dwangwa,2022-09-18,05:55,07:15,2022-09-18,Nanchang Changbei International Airport - Nanchang,Air Paradise International
566,Kherson International Airport - Kherson,2022-09-23,02:13,05:30,2022-09-23,Cobb County International Airport-McCollum Field - Atlanta,Jetstar
567,Bandırma Airport - Bandırma,2022-12-12,13:11,15:32,2022-12-12,Mackay Airport - Mackay,MBA Pty Ltd
568,Whakatane Airport - nan,2022-09-08,02:43,03:28,2022-09-08,Ras Tanajib Airport - As Saffaniyah,Australia Asia Airlines
569,Altus Air Force Base - Altus,2022-09-05,21:14,02:16,2022-09-05,Bremerton National Airport - Bremerton,Transair
570,Dingxin/Shuangchengzi Air Base - nan,2022-10-23,20:41,21:13,2022-10-23,Cobb County International Airport-McCollum Field - Atlanta,Flying Tiger Line
571,Dubbo City Regional Airport - Dubbo,2022-06-28,07:50,09:31,2022-06-28,Domingo Faustino Sarmiento Airport - San Juan,Air Paradise International
572,Corowa Airport - nan,2022-12-22,11:58,15:43,2022-12-22,Corozal Municipal Airport - Corozal,Flight West Airlines
573,Gagarin International Airport - Saratov,2022-05-20,21:13,03:01,2022-05-20,Kärdla Airport - Kärdla,Lauda Air
574,Benguela 17th of September Airport - Benguela,2022-11-15,22:52,04:15,2022-11-15,Central Illinois Regional Airport at Bloomington-Normal - Bloomington/Normal,Freedom Air International
575,Greater Moncton Roméo LeBlanc International Airport - Moncton,2022-07-22,17:27,20:24,2022-07-22,Manakara Airport - Manakara,Asian Express Airlines
576,Modlin Airport - Warsaw,2022-09-11,14:47,15:37,2022-09-11,Bayankhongor Airport - Bayankhongor,Sichuan Airlines
577,Luoyang Beijiao Airport - Luoyang,2022-11-23,17:08,22:10,2022-11-23,Veer Savarkar International Airport / INS Utkrosh - Port Blair,Garuda Indonesia
578,Yeltsovka Airport - Novosibirsk,2022-05-03,11:03,14:36,2022-05-03,Villa Airport - Maamigili,Air Zimbabwe
579,Montijo Air Base - Montijo,2022-12-22,12:32,19:05,2022-12-22,Las Cruces International Airport - Las Cruces,Hong Kong Airlines
580,Boulder City-Lake Mead International Airport - Boulder City,2022-10-12,02:26,09:03,2022-10-12,Kashgar Airport - Kashgar,Austrian Airlines
581,Surin Airport - Surin,2022-11-10,06:29,12:30,2022-11-10,Baykit Airport - Baykit,V Australia
582,Vaasa Airport - Vaasa,2022-09-21,03:33,07:19,2022-09-21,Rayak Air Base - Rayak,Aerolineas Argentinas
583,Jim Hamilton L.B. Owens Airport - Columbia,2022-07-05,02:17,06:24,2022-07-05,Eisenach-Kindel Airport - Eisenach,Qatar Airways
584,Kananga Airport - Kananga,2022-06-09,14:58,18:56,2022-06-09,Bangoka International Airport - Kisangani,Silk Air
585,Cobar Airport - nan,2022-11-13,22:56,23:46,2022-11-13,Périgueux-Bassillac Airport - Périgueux/Bassillac,Australia Asia Airlines
586,Southwest Washington Regional Airport - Kelso,2022-06-14,20:14,01:47,2022-06-14,Khotilovo Air Base - Bologoye,Virgin Samoa
587,JGSDF Kisarazu Airfield - Kisarazu,2022-09-05,22:25,02:01,2022-09-05,Augusto C. Sandino (Managua) International Airport - Managua,Qantas Airways
588,Ostend-Bruges International Airport - Ostend,2022-09-02,10:29,16:48,2022-09-02,Girua Airport - Popondetta,Norfolk Jet Express
589,Chinchilla Airport - nan,2022-06-24,03:29,07:34,2022-06-24,Las Cruces International Airport - Las Cruces,Air Canada
590,Lebyazhye Air Base - Kamyshin,2022-12-14,07:10,11:07,2022-12-14,Sveg Airport - Sveg,Vietnam Airlines
591,Suvarnabhumi Airport - Bangkok,2022-12-29,13:25,17:23,2022-12-29,Pune Airport / Lohagaon Air Force Station - Pune,Hainan Airlines
592,Nadzab Airport - Lae,2022-09-04,16:17,19:53,2022-09-04,Hartford Brainard Airport - Hartford,Air India
593,Shamattawa Airport - Shamattawa,2022-09-08,07:18,13:51,2022-09-08,Holingol Huolinhe Airport - Holingol,All Nippon Airways
594,Nanning Wuxu Airport - Nanning (Jiangnan),2022-09-05,14:10,20:04,2022-09-05,Bagdogra Airport - Siliguri,Lauda Air
595,Pangsuma Airport - Putussibau-Borneo Island,2022-05-09,15:44,16:17,2022-05-09,Sharm El Sheikh International Airport - Sharm el-Sheikh,Flying Tiger Line
596,Mananjary Airport - Mananjary,2022-06-12,21:36,00:11,2022-06-12,"Jiaxing Airport / Jiaxing Air Base - Xiuzhou, Hangzhou",Garuda Indonesia
597,Harrisburg International Airport - Harrisburg,2022-05-07,20:08,02:43,2022-05-07,Bob Sikes Airport - Crestview,Tianjin Airlines
598,Carrasco International /General C L Berisso Airport - Montevideo,2022-11-21,09:41,11:16,2022-11-21,Sonora Municipal Airport - Sonora,Kiwi Travel Intl Airlines
599,Keşan Air Base - Keşan,2022-07-25,01:06,05:21,2022-07-25,Le Luc-Le Cannet Airport - Le Cannet-des-Maures,United Parcel Service
600,Léopold Sédar Senghor International Airport - Dakar,2022-05-13,20:09,00:31,2022-05-13,Itbayat Airport - Itbayat,Air Australia
601,Hawke's Bay Airport - Napier,2022-09-01,21:37,01:46,2022-09-01,Wemindji Airport - Wemindji,Hong Kong Airlines
602,Arua Airport - Arua,2022-12-03,18:32,21:02,2022-12-03,Antonio Roldan Betancourt Airport - Carepa,South African Airways
603,Rafiqui Air Base - Shorkot,2022-11-16,14:10,20:04,2022-11-16,Antalya International Airport - Antalya,Sempati Air
604,San Luis Valley Regional Airport/Bergman Field - Alamosa,2022-07-25,04:38,05:56,2022-07-25,Blythe Airport - Blythe,China Eastern Airlines
605,Djanet Inedbirene Airport - Djanet,2022-11-21,13:54,18:26,2022-11-21,Aktau Airport - Aktau,Eva Air
606,Brașov-Ghimbav International Airport (U.C.) - Brașov (Ghimbav),2022-05-19,18:08,23:51,2022-05-19,Whiteman Air Force Base - Knob Noster,Air France
607,Île des Pins Airport - Île des Pins,2022-08-27,18:08,23:57,2022-08-27,Abdelhafid Boussouf Bou Chekif Airport - Tiaret,Air Nauru
608,Osijek Airport - Osijek,2022-12-14,07:27,12:02,2022-12-14,Coronel FAP Carlos Ciriani Santa Rosa International Airport - Tacna,British Airways
609,Roberts Field - Redmond,2022-09-10,08:02,10:08,2022-09-10,Wajir Airport - Wajir,Lan Chile
610,Desert Rock Airport - Mercury,2022-06-01,15:22,17:38,2022-06-01,New Tanegashima Airport - Tanegashima,Indonesia AirAsia Extra
611,João Simões Lopes Neto International Airport - Pelotas,2022-07-13,13:55,20:01,2022-07-13,RAF Odiham - Odiham,Etihad Airways
612,Luderitz Airport - Luderitz,2022-11-29,18:07,23:28,2022-11-29,Barter Island Long Range Radar Station Airport - Barter Island,Air China
613,Laoag International Airport - Laoag City,2022-06-18,16:39,18:37,2022-06-18,Miami-Opa Locka Executive Airport - Miami,Malindo Air
614,Chadron Municipal Airport - Chadron,2022-10-03,13:10,14:58,2022-10-03,Chapais Airport - Chibougamau,Air Tahiti Nui
615,Karpathos Airport - Karpathos Island,2022-06-29,02:42,04:31,2022-06-29,Gorgan Airport - Gorgan,China Airlines
616,Cauayan Airport - Cauayan City,2022-10-23,10:09,15:38,2022-10-23,Palana Airport - Palana,Alitalia
617,Paraparaumu Airport - nan,2022-06-05,17:41,23:15,2022-06-05,Narrandera Airport - Narrandera,Austrian Airlines
618,Biarritz-Anglet-Bayonne Airport - Biarritz/Anglet/Bayonne,2022-11-06,21:26,23:40,2022-11-06,Orangeburg Municipal Airport - Orangeburg,Tianjin Airlines
619,Ralph Wenz Field - Pinedale,2022-06-22,09:33,16:09,2022-06-22,Castres-Mazamet Airport - Castres/Mazamet,Kiwi Travel Intl Airlines
620,Mocímboa da Praia Airport - Mocímboa da Praia,2022-09-12,23:52,02:06,2022-09-12,Wemindji Airport - Wemindji,KLM Royal Dutch Airlines
621,Yanliang Air Base - nan,2022-06-09,02:06,08:40,2022-06-09,Lleida-Alguaire Airport - Lleida,Austrian Airlines
622,Kontum Airport - Kontum,2022-06-05,22:44,02:07,2022-06-05,Dole-Tavaux Airport - Dole/Tavaux,LAN Airlines
623,Oita Airport - Oita,2022-08-14,10:30,12:53,2022-08-14,Frank Pais International Airport - Holguin,Thai AirAsia X
624,Salluit Airport - Salluit,2022-06-12,02:20,04:18,2022-06-12,Gafsa Ksar International Airport - Gafsa,National Airlines
625,Berbera Airport - Berbera,2022-05-27,17:20,18:48,2022-05-27,Estevan Airport - Estevan,Thai AirAsia X
626,Whiting Field Naval Air Station South Airport - Milton,2022-06-01,18:37,19:35,2022-06-01,Lisala Airport - nan,China Southern Airlines
627,Ponta Grossa Airport - Comandante Antonio Amilton Beraldo - Ponta Grossa,2022-06-06,12:47,18:25,2022-06-06,Hassi Messaoud-Oued Irara Krim Belkacem Airport - Hassi Messaoud,Japan Airlines
628,Owensboro Daviess County Airport - Owensboro,2022-10-04,00:57,03:15,2022-10-04,Guiping Mengxu Air Base - Guiping (Guigang),Samoa Airways
629,Nakhchivan Airport - Nakhchivan,2022-11-10,16:04,22:20,2022-11-10,Luderitz Airport - Luderitz,Asiana Airlines
630,Lihue Airport - Lihue,2022-07-31,15:44,22:23,2022-07-31,Baotou Airport - Baotou,Kiwi Travel Intl Airlines
631,Presidente Prudente Airport - Presidente Prudente,2022-06-08,03:04,08:47,2022-06-08,Odate Noshiro Airport - Kitaakita,AirAsia X
632,Smuravyovo Air Base - Gdov,2022-07-19,21:43,23:10,2022-07-19,Marcos A. Gelabert International Airport - Albrook,National Jet Systems
633,Montluçon-Guéret Airport - Montluçon/Guéret,2022-05-07,06:11,10:44,2022-05-07,Sri Guru Ram Dass Jee International Airport - Amritsar,Cook Islands International
634,Rome–Fiumicino Leonardo da Vinci International Airport - Rome,2022-12-13,22:42,04:03,2022-12-13,La Independencia Airport - Rancagua,Air Pacific
635,Sultan Abdul Halim Airport - Alor Satar,2022-05-24,07:10,10:03,2022-05-24,Halls Creek Airport - nan,Hong Kong Airlines
636,Amborovy Airport - Mahajanga,2022-10-26,01:49,02:34,2022-10-26,Josep Tarradellas Barcelona-El Prat Airport - Barcelona,SriLankan Airlines
637,Kashgar Airport - Kashgar,2022-10-07,14:26,17:48,2022-10-07,Los Chiles Airport - Los Chiles,Hawaiian Airlines
638,Japura Airport - Rengat-Sumatra Island,2022-06-03,13:33,15:23,2022-06-03,Imperial County Airport - Imperial,Flying Tiger Line
639,Olyokminsk Airport - Olyokminsk,2022-08-15,18:08,21:05,2022-08-15,Rotorua Regional Airport - Rotorua,Fiji Airways
640,Aarhus Airport - Aarhus,2022-11-07,18:02,21:29,2022-11-07,South Pole Station Airport - Amundsen-Scott South Pole Station,Emirates
641,Grand Bahama International Airport - Freeport,2022-12-09,06:42,07:36,2022-12-09,Lindu Airport - Yichun,Polar Air Cargo
642,Xi'an Air Base - Xi'an,2022-08-24,04:39,11:11,2022-08-24,Perales Airport - Ibagué,Silk Air
643,"Ørsta-Volda Airport, Hovden - Ørsta",2022-11-10,23:33,03:46,2022-11-10,Kruger Mpumalanga International Airport - Mpumalanga,Beijing Capital Airlines
644,Staniel Cay Airport - nan,2022-06-15,23:49,03:18,2022-06-15,Orange Airport - Orange,Lufthansa German Airlines
645,Nouakchott–Oumtounsy International Airport - Nouakchott,2022-10-31,04:53,10:36,2022-10-31,Burgas Airport - Burgas,Lauda Air
646,Kostanay West Airport - Kostanay,2022-12-02,05:16,09:02,2022-12-02,Dübendorf Air Base - Zurich,Jetstar Asia
647,Visalia International Airport - Visalia,2022-08-02,21:00,00:26,2022-08-02,Kuwait International Airport - Kuwait City,Hainan Airlines
648,Volkel Air Base - Uden,2022-07-26,15:42,18:47,2022-07-26,Changjin Air Force Base - Changjin,Kiwi Travel Intl Airlines
649,Northeast Ohio Regional Airport - Ashtabula,2022-06-11,18:38,21:44,2022-06-11,Lester B. Pearson International Airport - Toronto,Jetstar
650,Koksan Air Base - Koksan,2022-06-15,11:13,15:35,2022-06-15,Neuburg AFB - Neuburg (Donau),United Parcel Service
651,Jialaishi Air Base - Lingao,2022-10-09,01:48,08:09,2022-10-09,Xi'an Xianyang International Airport - Xi'an,Merpati Nusantara Airlines
652,Baghdad International Airport / New Al Muthana Air Base - Baghdad,2022-08-11,13:29,19:16,2022-08-11,Radom Airport - Radom,Aerolineas Argentinas
653,Toksan Air Base - Tŏksan-dong,2022-09-11,10:42,16:41,2022-09-11,Yakima Air Terminal McAllister Field - Yakima,Delta Air Lines
654,Ivato Airport - Antananarivo,2022-09-14,01:07,04:30,2022-09-14,Francisco de Sá Carneiro Airport - Porto,China Eastern Airlines
655,Eldoret International Airport - Eldoret,2022-05-19,02:15,03:04,2022-05-19,Seletar Airport - Seletar,Fiji Airways
656,San Sebastián Airport - Hondarribia,2022-12-12,10:28,12:45,2022-12-12,Sembawang Air Base - Sembawang,Olympic Airways
657,Batumi International Airport - Batumi,2022-08-20,21:40,03:15,2022-08-20,Hermanos Serdán International Airport - Puebla,Xiamen Airlines
658,Sierra Maestra Airport - Manzanillo,2022-06-24,06:47,07:07,2022-06-24,Karlsruhe Baden-Baden Airport - Baden-Baden,JALways
659,Konya Airport - Konya,2022-09-11,03:09,04:30,2022-09-11,Armilla Air Base - Armilla,Virgin Samoa
660,Cuernavaca - General Mariano Matamoros Airport - Temixco,2022-10-06,02:27,08:04,2022-10-06,Gautam Buddha International Airport - Siddharthanagar (Bhairahawa),Aerolineas Argentinas
661,Palma de Mallorca Airport - Palma De Mallorca,2022-06-23,00:39,02:15,2022-06-23,Nakashibetsu Airport - Nakashibetsu,National Airlines
662,Araraquara Airport - Araraquara,2022-08-24,12:41,19:09,2022-08-24,Tarama Airport - Tarama,Tiger Airways
663,Shirdi Airport - Kakadi,2022-06-11,12:04,14:24,2022-06-11,Deering Airport - Deering,Norfolk Jet Express
664,Kulusuk Airport - Kulusuk,2022-10-07,13:12,14:05,2022-10-07,Korla Airport - Korla,United Airlines
665,Lakefront Airport - New Orleans,2022-05-09,23:58,01:51,2022-05-09,Orsk Airport - Orsk,Fiji Airways
666,Las Flores Airport - El Banco,2022-07-27,18:33,19:10,2022-07-27,Qikiqtarjuaq Airport - Qikiqtarjuaq,Continental Micronesia
667,King Saud Bin Abdulaziz (Al Baha) Airport - Al Aqiq,2022-05-10,06:36,12:42,2022-05-10,Dezful Airport - Dezful,Mandarin Airlines
668,Felts Field - Spokane,2022-07-13,15:22,18:55,2022-07-13,Sheppard Air Force Base-Wichita Falls Municipal Airport - Wichita Falls,Valuair
669,Şanlıurfa GAP Airport - Şanlıurfa,2022-05-27,04:46,10:15,2022-05-27,Samarra East Air Base / Dhuluiya Airport - Dhuluiya,Tigerair
670,Port Menier Airport - Port-Menier,2022-06-28,16:14,21:54,2022-06-28,Aérodrome d'Alès Cévennes - Alès/Deaux,Donghai Airlines
671,Halmstad Airport - Halmstad,2022-06-08,19:09,22:04,2022-06-08,Jack Mc Namara Field Airport - Crescent City,Hong Kong Airlines
672,Grosseto Air Base - Grosetto,2022-05-17,03:34,05:27,2022-05-17,Mzuzu Airport - Mzuzu,Pel-Air Aviation
673,John A. Osborne Airport - Gerald's Park,2022-12-18,20:47,00:32,2022-12-18,Los Garzones Airport - Montería,Citilink Indonesia
674,Cha Eian Airport - Nakhon Si Thammarat,2022-11-02,17:29,18:52,2022-11-02,Tampere-Pirkkala Airport - Tampere / Pirkkala,Lufthansa German Airlines
675,"Shenyang Beiling Air Base - Huanggu, Shenyang",2022-06-09,14:28,20:48,2022-06-09,Canaima Airport - Canaima,Kalitta Air
676,Barberton Airport - Umjindi (Barberton),2022-09-24,23:40,02:36,2022-09-24,Broken Hill Airport - Broken Hill,Qatar Airways
677,Zanesville Municipal Airport - Zanesville,2022-11-24,05:25,10:41,2022-11-24,California Redwood Coast-Humboldt County Airport - Arcata/Eureka,United Parcel Service
678,Hall Beach Airport - Sanirajak,2022-07-29,15:40,19:22,2022-07-29,Piloto Osvaldo Marques Dias Airport - Alta Floresta,Solomon Airlines
679,Qalat Salih Air Base - nan,2022-10-24,07:27,08:26,2022-10-24,Yaroslavl Levtsovo Air Base - Yaroslavl,Continental Micronesia
680,Birchwood Airport - Birchwood,2022-10-23,00:52,01:43,2022-10-23,Suboficial Ay Santiago Germano Airport - San Rafael,Donghai Airlines
681,Brunswick Golden Isles Airport - Brunswick,2022-09-09,05:47,11:07,2022-09-09,Boryspil International Airport - Kiev,Vietnam Airlines
682,Santa Bernardina International Airport - Durazno,2022-06-04,10:57,11:19,2022-06-04,South Alabama Regional At Bill Benton Field Airport - Andalusia/Opp,Air Austral
683,"Vardø Airport, Svartnes - Vardø",2022-07-20,10:15,11:29,2022-07-20,Porbandar Airport - Porbandar,Aeroflot Russian Intl A/l
684,Baoji Air Base - Baoji,2022-05-26,06:41,08:30,2022-05-26,Grantley Adams International Airport - Bridgetown,Samoa Airways
685,Homestead ARB Airport - Homestead,2022-09-02,09:18,14:12,2022-09-02,Libreville Leon M'ba International Airport - Libreville,Jetstar Asia
686,Pembroke Airport - Pembroke,2022-09-11,14:50,15:56,2022-09-11,Aupaluk Airport - Aupaluk,Tigerair
687,Sacramento Executive Airport - Sacramento,2022-09-04,20:58,00:08,2022-09-04,Khovd Airport - Khovd,Hawaiian Airlines
688,Ndolo Airport - N'dolo,2022-06-10,08:43,14:42,2022-06-10,Samara Kryazh Air Base - Samara,Kiwi Travel Intl Airlines
689,Alonso Valderrama Airport - Chitré,2022-07-31,09:20,11:32,2022-07-31,Zielona Góra-Babimost Airport - Babimost,Polar Air Cargo
690,Vilhelmina South Lapland Airport - Vilhelmina,2022-05-04,10:19,13:14,2022-05-04,Khanty Mansiysk Airport - Khanty-Mansiysk,SkyAirWorld
691,Melbourne Essendon Airport - Essendon Fields,2022-11-05,13:28,16:14,2022-11-05,Esler Army Airfield / Esler Regional Airport - Alexandria,Batik Air Indonesia
692,King Khaled Military City Airport - King Khaled Military City,2022-11-20,11:35,15:30,2022-11-20,La Coloma Airport - Pinar del Rio,Cathay Pacific Airways
693,Vinnytsia/Gavyryshivka International Airport - Vinnitsa,2022-06-02,09:12,14:46,2022-06-02,Nova Lisboa Airport - Huambo,Etihad Airways
694,"İstanbul Atatürk Airport - Bakırköy, Istanbul",2022-12-30,17:16,22:23,2022-12-30,Graf Ignatievo Air Base - Graf Ignatievo,Polynesian Airlines
695,Miyako Airport - Miyako City,2022-07-23,22:38,00:32,2022-07-23,Al Udeid Air Base - Ar Rayyan,Australian Airlines
696,Samui Airport - Na Thon (Ko Samui Island),2022-05-30,13:10,16:46,2022-05-30,Astoria Regional Airport - Astoria,Air Caledonie International
697,Biratnagar Airport - Biratnagar,2022-06-22,04:39,10:20,2022-06-22,Comandante FAP German Arias Graziani Airport - Anta,Solomon Airlines
698,Mendi Airport - Mendi,2022-05-16,16:11,18:54,2022-05-16,Çiğli Airport - Kaklıç Mahallesi,LATAM Airlines
699,Oxford House Airport - Oxford House,2022-10-23,02:13,04:17,2022-10-23,Shijiazhuang Zhengding International Airport - Shijiazhuang,American Airlines
700,Al Taji Army Air Field - Taji,2022-05-07,18:49,19:29,2022-05-07,Nörvenich Air Base - nan,All Nippon Airways
701,Portland Airport - nan,2022-06-16,21:43,02:48,2022-06-16,Whakatane Airport - nan,Korean Air
