,codes,airports,cities,countries,airports - cities
635,EDHK,Kiel-Holtenau Airport,Kiel,DE,Kiel-Holtenau Airport - Kiel
636,EDHL,Lübeck Blankensee Airport,Lübeck,DE,Lübeck Blankensee Airport - Lübeck
637,EDJA,Memmingen Allgau Airport,Memmingen,DE,Memmingen Allgau Airport - Memmingen
638,EDLN,Mönchengladbach Airport,Mönchengladbach,DE,Mönchengladbach Airport - Mönchengladbach
639,EDLP,Paderborn Lippstadt Airport,Paderborn,DE,Paderborn Lippstadt Airport - Paderborn
640,EDLV,Weeze Airport,Weeze,DE,Weeze Airport - Weeze
641,EDLW,Dortmund Airport,Dortmund,DE,Dortmund Airport - Dortmund
642,EDMA,Augsburg Airport,Augsburg,DE,Augsburg Airport - Augsburg
643,EDMO,Oberpfaffenhofen Airport,Weßling,DE,Oberpfaffenhofen Airport - Weßling
644,EDNY,Friedrichshafen Airport,Friedrichshafen,DE,Friedrichshafen Airport - Friedrichshafen
645,EDOP,Schwerin Parchim Airport,,DE,Schwerin Parchim Airport - nan
646,EDQA,Airport Bamberg-Breitenau,Bamberg,DE,Airport Bamberg-Breitenau - Bamberg
647,EDQD,Bayreuth Airport,Bayreuth,DE,Bayreuth Airport - Bayreuth
648,EDQM,Hof-Plauen Airport,Hof,DE,Hof-Plauen Airport - Hof
649,EDSB,Karlsruhe Baden-Baden Airport,Baden-Baden,DE,Karlsruhe Baden-Baden Airport - Baden-Baden
650,EDTD,Flugplatz Donaueschingen-Villingen,Donaueschingen,DE,Flugplatz Donaueschingen-Villingen - Donaueschingen
651,EDTL,Lahr Airport,,DE,Lahr Airport - nan
652,EDTY,Adolf Würth Airport,Schwäbisch Hall,DE,Adolf Würth Airport - Schwäbisch Hall
653,EDUZ,Flugplatz Zerbst,Zerbst/Anhalt,DE,Flugplatz Zerbst - Zerbst/Anhalt
654,EDVE,Braunschweig-Wolfsburg Airport,Braunschweig,DE,Braunschweig-Wolfsburg Airport - Braunschweig
655,EDVK,Kassel-Calden Airport,Kassel,DE,Kassel-Calden Airport - Kassel
656,EDXW,Westerland Sylt Airport,Westerland,DE,Westerland Sylt Airport - Westerland
657,EEEI,Ämari Air Base,Keila,EE,Ämari Air Base - Keila
658,EEKA,Kärdla Airport,Kärdla,EE,Kärdla Airport - Kärdla
659,EEKE,Kuressaare Airport,Kuressaare,EE,Kuressaare Airport - Kuressaare
660,EEPU,Pärnu Airport,Pärnu,EE,Pärnu Airport - Pärnu
661,EES,Berenice International Airport / Ras Banas Air Base,Berenice Troglodytica,EG,Berenice International Airport / Ras Banas Air Base - Berenice Troglodytica
662,EETN,Lennart Meri Tallinn Airport,Tallinn,EE,Lennart Meri Tallinn Airport - Tallinn
663,EETU,Tartu Airport,Tartu,EE,Tartu Airport - Tartu
664,EFET,Enontekio Airport,Enontekio,FI,Enontekio Airport - Enontekio
665,EFHA,Halli Airport,Jämsä,FI,Halli Airport - Jämsä
666,EFHK,Helsinki Vantaa Airport,Helsinki,FI,Helsinki Vantaa Airport - Helsinki
667,EFIT,Kitee Airport,Kitee,FI,Kitee Airport - Kitee
668,EFIV,Ivalo Airport,Ivalo,FI,Ivalo Airport - Ivalo
669,EFJO,Joensuu Airport,Joensuu / Liperi,FI,Joensuu Airport - Joensuu / Liperi
670,EFJY,Jyväskylä Airport,Jyväskylän Maalaiskunta,FI,Jyväskylä Airport - Jyväskylän Maalaiskunta
671,EFKA,Kauhava Airfield,Kauhava,FI,Kauhava Airfield - Kauhava
672,EFKE,Kemi-Tornio Airport,Kemi / Tornio,FI,Kemi-Tornio Airport - Kemi / Tornio
673,EFKI,Kajaani Airport,Kajaani,FI,Kajaani Airport - Kajaani
674,EFKJ,Kauhajoki Airfield,,FI,Kauhajoki Airfield - nan
675,EFKK,Kokkola-Pietarsaari Airport,Kokkola / Kruunupyy,FI,Kokkola-Pietarsaari Airport - Kokkola / Kruunupyy
676,EFKS,Kuusamo Airport,Kuusamo,FI,Kuusamo Airport - Kuusamo
677,EFKT,Kittilä Airport,Kittilä,FI,Kittilä Airport - Kittilä
678,EFKU,Kuopio Airport,Kuopio / Siilinjärvi,FI,Kuopio Airport - Kuopio / Siilinjärvi
679,EFLP,Lappeenranta Airport,Lappeenranta,FI,Lappeenranta Airport - Lappeenranta
680,EFMA,Mariehamn Airport,Mariehamn,FI,Mariehamn Airport - Mariehamn
681,EFMI,Mikkeli Airport,Mikkeli,FI,Mikkeli Airport - Mikkeli
682,EFOU,Oulu Airport,Oulu / Oulunsalo,FI,Oulu Airport - Oulu / Oulunsalo
683,EFPO,Pori Airport,Pori,FI,Pori Airport - Pori
684,EFPR,Helsinki East-Redstone Airport,Helsinki (Pyhtää),FI,Helsinki East-Redstone Airport - Helsinki (Pyhtää)
685,EFRO,Rovaniemi Airport,Rovaniemi,FI,Rovaniemi Airport - Rovaniemi
686,EFSA,Savonlinna Airport,Savonlinna,FI,Savonlinna Airport - Savonlinna
687,EFSI,Seinäjoki Airport,Seinäjoki / Ilmajoki,FI,Seinäjoki Airport - Seinäjoki / Ilmajoki
688,EFSO,Sodankyla Airport,Sodankyla,FI,Sodankyla Airport - Sodankyla
689,EFTP,Tampere-Pirkkala Airport,Tampere / Pirkkala,FI,Tampere-Pirkkala Airport - Tampere / Pirkkala
690,EFTU,Turku Airport,Turku,FI,Turku Airport - Turku
691,EFUT,Utti Air Base,Utti / Valkeala,FI,Utti Air Base - Utti / Valkeala
692,EFVA,Vaasa Airport,Vaasa,FI,Vaasa Airport - Vaasa
693,EFVR,Varkaus Airport,Varkaus / Joroinen,FI,Varkaus Airport - Varkaus / Joroinen
694,EFYL,Ylivieska Airfield,,FI,Ylivieska Airfield - nan
695,EG-0003,Bilbeis 2 Airfield,Bilbeis,EG,Bilbeis 2 Airfield - Bilbeis
696,EGAA,Belfast International Airport,Belfast,GB,Belfast International Airport - Belfast
697,EGAB,Enniskillen/St Angelo Airport,Enniskillen,GB,Enniskillen/St Angelo Airport - Enniskillen
698,EGAC,George Best Belfast City Airport,Belfast,GB,George Best Belfast City Airport - Belfast
699,EGAE,City of Derry Airport,Derry,GB,City of Derry Airport - Derry
700,EGBB,Birmingham International Airport,Birmingham,GB,Birmingham International Airport - Birmingham
701,EGBE,Coventry Airport,Coventry,GB,Coventry Airport - Coventry
702,EGBJ,Gloucestershire Airport,Staverton,GB,Gloucestershire Airport - Staverton
703,EGBN,Nottingham Airport,Nottingham,GB,Nottingham Airport - Nottingham
704,EGCC,Manchester Airport,Manchester,GB,Manchester Airport - Manchester
705,EGCN,Robin Hood Doncaster Sheffield Airport,Doncaster,GB,Robin Hood Doncaster Sheffield Airport - Doncaster
706,EGDC,Royal Marines Base Chivenor Airport,Chivenor,GB,Royal Marines Base Chivenor Airport - Chivenor
707,EGDM,MoD Boscombe Down Airport,Amesbury,GB,MoD Boscombe Down Airport - Amesbury
708,EGDR,RNAS Culdrose,Helston,GB,RNAS Culdrose - Helston
709,EGDX,St. Athan Airport,St. Athan,GB,St. Athan Airport - St. Athan
710,EGDY,RNAS Yeovilton,Yeovil,GB,RNAS Yeovilton - Yeovil
711,EGEC,Campbeltown Airport,Campbeltown,GB,Campbeltown Airport - Campbeltown
712,EGED,Eday Airport,Eday,GB,Eday Airport - Eday
713,EGFE,Haverfordwest Airport,Haverfordwest,GB,Haverfordwest Airport - Haverfordwest
714,EGFF,Cardiff International Airport,Cardiff,GB,Cardiff International Airport - Cardiff
715,EGFH,Swansea Airport,Swansea,GB,Swansea Airport - Swansea
716,EGGD,Bristol Airport,Bristol,GB,Bristol Airport - Bristol
717,EGGP,Liverpool John Lennon Airport,Liverpool,GB,Liverpool John Lennon Airport - Liverpool
718,EGGW,London Luton Airport,London,GB,London Luton Airport - London
719,EGHH,Bournemouth Airport,Bournemouth,GB,Bournemouth Airport - Bournemouth
720,EGHI,Southampton Airport,Southampton,GB,Southampton Airport - Southampton
721,EGHL,Lasham Airfield,Lasham,GB,Lasham Airfield - Lasham
722,EGHQ,Newquay Cornwall Airport,Newquay,GB,Newquay Cornwall Airport - Newquay
723,EGJA,Alderney Airport,Saint Anne,GG,Alderney Airport - Saint Anne
724,EGJB,Guernsey Airport,Saint Peter Port,GG,Guernsey Airport - Saint Peter Port
725,EGJJ,Jersey Airport,Saint Helier,JE,Jersey Airport - Saint Helier
726,EGKA,Shoreham Airport,Brighton,GB,Shoreham Airport - Brighton
727,EGKB,London Biggin Hill Airport,London,GB,London Biggin Hill Airport - London
728,EGKK,London Gatwick Airport,London,GB,London Gatwick Airport - London
729,EGLC,London City Airport,London,GB,London City Airport - London
730,EGLF,Farnborough Airport,Farnborough,GB,Farnborough Airport - Farnborough
731,EGLK,Blackbushe Airport,Yateley,GB,Blackbushe Airport - Yateley
732,EGLL,London Heathrow Airport,London,GB,London Heathrow Airport - London
733,EGMC,Southend Airport,London,GB,Southend Airport - London
734,EGMD,Lydd Airport,"Lydd, Ashford",GB,"Lydd Airport - Lydd, Ashford"
735,EGNC,Carlisle Airport,Carlisle,GB,Carlisle Airport - Carlisle
736,EGNH,Blackpool International Airport,Blackpool,GB,Blackpool International Airport - Blackpool
737,EGNJ,Humberside Airport,Grimsby,GB,Humberside Airport - Grimsby
738,EGNL,Barrow Walney Island Airport,Barrow-in-Furness,GB,Barrow Walney Island Airport - Barrow-in-Furness
739,EGNM,Leeds Bradford Airport,Leeds,GB,Leeds Bradford Airport - Leeds
740,EGNO,Warton Aerodrome,Warton,GB,Warton Aerodrome - Warton
741,EGNR,Hawarden Airport,Hawarden,GB,Hawarden Airport - Hawarden
742,EGNS,Isle of Man Airport,Castletown,IM,Isle of Man Airport - Castletown
743,EGNT,Newcastle Airport,Newcastle,GB,Newcastle Airport - Newcastle
744,EGNV,Teesside International Airport,"Darlington, Durham",GB,"Teesside International Airport - Darlington, Durham"
745,EGNX,East Midlands Airport,Nottingham,GB,East Midlands Airport - Nottingham
746,EGOM,RAF Spadeadam,Spadeadam,GB,RAF Spadeadam - Spadeadam
747,EGOS,RAF Shawbury,Shawbury,GB,RAF Shawbury - Shawbury
748,EGOV,Anglesey Airport,Angelsey,GB,Anglesey Airport - Angelsey
749,EGPA,Kirkwall Airport,Orkney Islands,GB,Kirkwall Airport - Orkney Islands
750,EGPB,Sumburgh Airport,Lerwick,GB,Sumburgh Airport - Lerwick
751,EGPC,Wick Airport,Wick,GB,Wick Airport - Wick
752,EGPD,Aberdeen Dyce Airport,Aberdeen,GB,Aberdeen Dyce Airport - Aberdeen
753,EGPE,Inverness Airport,Inverness,GB,Inverness Airport - Inverness
754,EGPF,Glasgow International Airport,"Paisley, Renfrewshire",GB,"Glasgow International Airport - Paisley, Renfrewshire"
755,EGPH,Edinburgh Airport,Edinburgh,GB,Edinburgh Airport - Edinburgh
756,EGPI,Islay Airport,Port Ellen,GB,Islay Airport - Port Ellen
757,EGPK,Glasgow Prestwick Airport,"Prestwick, South Ayrshire",GB,"Glasgow Prestwick Airport - Prestwick, South Ayrshire"
758,EGPL,Benbecula Airport,Balivanich,GB,Benbecula Airport - Balivanich
759,EGPM,Scatsta Airport,Shetland Islands,GB,Scatsta Airport - Shetland Islands
760,EGPN,Dundee Airport,Dundee,GB,Dundee Airport - Dundee
761,EGPO,Stornoway Airport,"Stornoway, Western Isles",GB,"Stornoway Airport - Stornoway, Western Isles"
762,EGPR,Barra Airport,Eoligarry,GB,Barra Airport - Eoligarry
763,EGPU,Tiree Airport,Balemartine,GB,Tiree Airport - Balemartine
764,EGQK,RAF Kinloss,Kinloss,GB,RAF Kinloss - Kinloss
765,EGQL,Leuchars Station Airfield,"Leuchars, Fife",GB,"Leuchars Station Airfield - Leuchars, Fife"
766,EGQS,RAF Lossiemouth,Lossiemouth,GB,RAF Lossiemouth - Lossiemouth
767,EGSC,Cambridge Airport,Cambridge,GB,Cambridge Airport - Cambridge
768,EGSH,Norwich International Airport,Norwich,GB,Norwich International Airport - Norwich
769,EGSS,London Stansted Airport,London,GB,London Stansted Airport - London
770,EGTC,Cranfield Airport,Cranfield,GB,Cranfield Airport - Cranfield
771,EGTE,Exeter International Airport,Exeter,GB,Exeter International Airport - Exeter
772,EGTK,Oxford (Kidlington) Airport,Kidlington,GB,Oxford (Kidlington) Airport - Kidlington
773,EGUB,RAF Benson,Benson,GB,RAF Benson - Benson
774,EGUL,RAF Lakenheath,Lakenheath,GB,RAF Lakenheath - Lakenheath
775,EGUN,RAF Mildenhall,Mildenhall,GB,RAF Mildenhall - Mildenhall
776,EGUW,Wattisham Airfield,Stowmarket,GB,Wattisham Airfield - Stowmarket
777,EGUY,RAF Wyton,St. Ives,GB,RAF Wyton - St. Ives
778,EGVA,RAF Fairford,Fairford,GB,RAF Fairford - Fairford
779,EGVN,RAF Brize Norton,Brize Norton,GB,RAF Brize Norton - Brize Norton
780,EGVO,RAF Odiham,Odiham,GB,RAF Odiham - Odiham
781,EGWC,DCAE Cosford Air Base,Cosford,GB,DCAE Cosford Air Base - Cosford
782,EGWU,RAF Northolt,London,GB,RAF Northolt - London
783,EGXC,RAF Coningsby,Coningsby,GB,RAF Coningsby - Coningsby
784,EGXD,RAF Dishforth,Dishforth,GB,RAF Dishforth - Dishforth
785,EGXE,RAF Leeming Air Base,Leeming,GB,RAF Leeming Air Base - Leeming
786,EGXG,Leeds East Airport,Church Fenton,GB,Leeds East Airport - Church Fenton
787,EGXH,RAF Honington,Thetford,GB,RAF Honington - Thetford
788,EGXP,RAF Scampton,Scampton,GB,RAF Scampton - Scampton
789,EGXT,RAF Wittering,Wittering,GB,RAF Wittering - Wittering
790,EGXU,RAF Linton-On-Ouse,Linton-On-Ouse,GB,RAF Linton-On-Ouse - Linton-On-Ouse
791,EGXW,RAF Waddington,Waddington,GB,RAF Waddington - Waddington
792,EGXZ,RAF Topcliffe,Topcliffe,GB,RAF Topcliffe - Topcliffe
793,EGYD,RAF Cranwell,Cranwell,GB,RAF Cranwell - Cranwell
794,EGYE,RAF Barkston Heath,Grantham,GB,RAF Barkston Heath - Grantham
795,EGYM,RAF Marham,Marham,GB,RAF Marham - Marham
796,EGYP,Mount Pleasant Airport,Mount Pleasant,FK,Mount Pleasant Airport - Mount Pleasant
797,EHAM,Amsterdam Airport Schiphol,Amsterdam,NL,Amsterdam Airport Schiphol - Amsterdam
798,EHBD,Budel Airfield Kempen,Weert,NL,Budel Airfield Kempen - Weert
799,EHBK,Maastricht Aachen Airport,Maastricht,NL,Maastricht Aachen Airport - Maastricht
800,EHDL,Deelen Air Base,Arnhem,NL,Deelen Air Base - Arnhem
801,EHDP,De Peel Air Base,Venray,NL,De Peel Air Base - Venray
802,EHEH,Eindhoven Airport,Eindhoven,NL,Eindhoven Airport - Eindhoven
803,EHGG,Eelde Airport,Groningen,NL,Eelde Airport - Groningen
804,EHGR,Gilze Rijen Air Base,Breda,NL,Gilze Rijen Air Base - Breda
805,EHKD,De Kooy Airport,Den Helder,NL,De Kooy Airport - Den Helder
806,EHLE,Lelystad Airport,Lelystad,NL,Lelystad Airport - Lelystad
807,EHLW,Leeuwarden Air Base,Leeuwarden,NL,Leeuwarden Air Base - Leeuwarden
808,EHRD,Rotterdam The Hague Airport,Rotterdam,NL,Rotterdam The Hague Airport - Rotterdam
809,EHTW,Twente Airport,Enschede,NL,Twente Airport - Enschede
810,EHVK,Volkel Air Base,Uden,NL,Volkel Air Base - Uden
811,EHWO,Woensdrecht Air Base,Bergen Op Zoom,NL,Woensdrecht Air Base - Bergen Op Zoom
812,EICK,Cork Airport,Cork,IE,Cork Airport - Cork
813,EICM,Galway Airport,Galway,IE,Galway Airport - Galway
814,EIDL,Donegal Airport,Donegal,IE,Donegal Airport - Donegal
815,EIDW,Dublin Airport,Dublin,IE,Dublin Airport - Dublin
816,EIKN,Ireland West Knock Airport,Charlestown,IE,Ireland West Knock Airport - Charlestown
817,EIKY,Kerry Airport,Killarney,IE,Kerry Airport - Killarney
818,EIME,Casement Air Base,Baldonnel,IE,Casement Air Base - Baldonnel
819,EINN,Shannon Airport,Shannon,IE,Shannon Airport - Shannon
820,EISG,Sligo Airport,Sligo,IE,Sligo Airport - Sligo
821,EIWF,Waterford Airport,Waterford,IE,Waterford Airport - Waterford
822,EIWT,Weston Airport,Leixlip,IE,Weston Airport - Leixlip
823,EKAH,Aarhus Airport,Aarhus,DK,Aarhus Airport - Aarhus
824,EKBI,Billund Airport,Billund,DK,Billund Airport - Billund
825,EKCH,Copenhagen Kastrup Airport,Copenhagen,DK,Copenhagen Kastrup Airport - Copenhagen
826,EKEB,Esbjerg Airport,Esbjerg,DK,Esbjerg Airport - Esbjerg
827,EKKA,Karup Airport,Karup,DK,Karup Airport - Karup
828,EKMB,Lolland Falster Maribo Airport,Lolland Falster / Maribo,DK,Lolland Falster Maribo Airport - Lolland Falster / Maribo
829,EKOD,Odense Airport,Odense,DK,Odense Airport - Odense
830,EKRK,Copenhagen Roskilde Airport,Copenhagen,DK,Copenhagen Roskilde Airport - Copenhagen
831,EKRN,Bornholm Airport,Rønne,DK,Bornholm Airport - Rønne
832,EKSB,Sønderborg Airport,Sønderborg,DK,Sønderborg Airport - Sønderborg
833,EKSN,Sindal Airport,Sindal,DK,Sindal Airport - Sindal
834,EKSP,Skrydstrup Air Base,Vojens,DK,Skrydstrup Air Base - Vojens
835,EKSV,Skive Airport,Skive,DK,Skive Airport - Skive
836,EKTS,Thisted Airport,Thisted,DK,Thisted Airport - Thisted
837,EKVD,Kolding Vamdrup Airfield,Kolding / Vamdrup,DK,Kolding Vamdrup Airfield - Kolding / Vamdrup
838,EKVG,Vágar Airport,Vágar,FO,Vágar Airport - Vágar
839,EKVJ,Stauning Airport,Skjern / Ringkøbing,DK,Stauning Airport - Skjern / Ringkøbing
840,EKYT,Aalborg Airport,Aalborg,DK,Aalborg Airport - Aalborg
841,ELLX,Luxembourg-Findel International Airport,Luxembourg,LU,Luxembourg-Findel International Airport - Luxembourg
842,ENAL,"Ålesund Airport, Vigra",Ålesund,NO,"Ålesund Airport, Vigra - Ålesund"
843,ENAN,"Andøya Airport, Andenes",Andenes,NO,"Andøya Airport, Andenes - Andenes"
844,ENAT,Alta Airport,Alta,NO,Alta Airport - Alta
845,ENBN,"Brønnøysund Airport, Brønnøy",Brønnøy,NO,"Brønnøysund Airport, Brønnøy - Brønnøy"
846,ENBO,Bodø Airport,Bodø,NO,Bodø Airport - Bodø
847,ENBR,"Bergen Airport, Flesland",Bergen,NO,"Bergen Airport, Flesland - Bergen"
848,ENBS,Båtsfjord Airport,Båtsfjord,NO,Båtsfjord Airport - Båtsfjord
849,ENBV,Berlevåg Airport,Berlevåg,NO,Berlevåg Airport - Berlevåg
850,ENCN,"Kristiansand Airport, Kjevik",Kjevik,NO,"Kristiansand Airport, Kjevik - Kjevik"
851,ENDU,Bardufoss Airport,Målselv,NO,Bardufoss Airport - Målselv
852,ENEN,Engeløy Airport,Engeløy,NO,Engeløy Airport - Engeløy
853,ENEV,"Harstad/Narvik Airport, Evenes",Evenes,NO,"Harstad/Narvik Airport, Evenes - Evenes"
854,ENFG,"Fagernes Airport, Leirin",Fagernes,NO,"Fagernes Airport, Leirin - Fagernes"
855,ENFL,Florø Airport,Florø,NO,Florø Airport - Florø
856,ENGM,"Oslo Airport, Gardermoen",Oslo,NO,"Oslo Airport, Gardermoen - Oslo"
857,ENHD,"Haugesund Airport, Karmøy",Karmøy,NO,"Haugesund Airport, Karmøy - Karmøy"
858,ENHF,Hammerfest Airport,Hammerfest,NO,Hammerfest Airport - Hammerfest
859,ENHV,"Honningsvåg Airport, Valan",Honningsvåg,NO,"Honningsvåg Airport, Valan - Honningsvåg"
860,ENKB,"Kristiansund Airport, Kvernberget",Kvernberget,NO,"Kristiansund Airport, Kvernberget - Kvernberget"
861,ENKR,"Kirkenes Airport, Høybuktmoen",Kirkenes,NO,"Kirkenes Airport, Høybuktmoen - Kirkenes"
862,ENLK,Leknes Airport,Leknes,NO,Leknes Airport - Leknes
863,ENMH,Mehamn Airport,Mehamn,NO,Mehamn Airport - Mehamn
864,ENML,"Molde Airport, Årø",Årø,NO,"Molde Airport, Årø - Årø"
865,ENMS,"Mosjøen Airport, Kjærstad",Mosjøen,NO,"Mosjøen Airport, Kjærstad - Mosjøen"
866,ENNA,"Lakselv Airport, Banak",Lakselv,NO,"Lakselv Airport, Banak - Lakselv"
867,ENNO,Notodden Airport,Notodden,NO,Notodden Airport - Notodden
868,ENOL,Ørland Airport,Ørland,NO,Ørland Airport - Ørland
869,ENOV,"Ørsta-Volda Airport, Hovden",Ørsta,NO,"Ørsta-Volda Airport, Hovden - Ørsta"
870,ENRA,"Mo i Rana Airport, Røssvoll",Mo i Rana,NO,"Mo i Rana Airport, Røssvoll - Mo i Rana"
871,ENRM,"Rørvik Airport, Ryum",Rørvik,NO,"Rørvik Airport, Ryum - Rørvik"
872,ENRO,Røros Airport,Røros,NO,Røros Airport - Røros
873,ENRY,"Moss Airport, Rygge",Oslo,NO,"Moss Airport, Rygge - Oslo"
874,ENSB,"Svalbard Airport, Longyear",Longyearbyen,NO,"Svalbard Airport, Longyear - Longyearbyen"
875,ENSH,"Svolvær Airport, Helle",Svolvær,NO,"Svolvær Airport, Helle - Svolvær"
876,ENSK,"Stokmarknes Airport, Skagen",Hadsel,NO,"Stokmarknes Airport, Skagen - Hadsel"
877,ENSN,Skien Airport,Geiteryggen,NO,Skien Airport - Geiteryggen
878,ENSO,"Stord Airport, Sørstokken",Leirvik,NO,"Stord Airport, Sørstokken - Leirvik"
879,ENSR,Sørkjosen Airport,Sørkjosen,NO,Sørkjosen Airport - Sørkjosen
880,ENSS,"Vardø Airport, Svartnes",Vardø,NO,"Vardø Airport, Svartnes - Vardø"
881,ENST,"Sandnessjøen Airport, Stokka",Alstahaug,NO,"Sandnessjøen Airport, Stokka - Alstahaug"
882,ENTC,"Tromsø Airport, Langnes",Tromsø,NO,"Tromsø Airport, Langnes - Tromsø"
883,ENTO,"Sandefjord Airport, Torp",Torp,NO,"Sandefjord Airport, Torp - Torp"
884,ENVA,"Trondheim Airport, Værnes",Trondheim,NO,"Trondheim Airport, Værnes - Trondheim"
885,ENVD,Vadsø Airport,Vadsø,NO,Vadsø Airport - Vadsø
886,ENY,Yan'an Nanniwan Airport,Yan'an,CN,Yan'an Nanniwan Airport - Yan'an
887,ENZV,"Stavanger Airport, Sola",Stavanger,NO,"Stavanger Airport, Sola - Stavanger"
888,EPBY,Bydgoszcz Ignacy Jan Paderewski Airport,Bydgoszcz,PL,Bydgoszcz Ignacy Jan Paderewski Airport - Bydgoszcz
889,EPCE,Cewice Air Base,Lębork,PL,Cewice Air Base - Lębork
890,EPDE,Deblin Military Air Base,Dęblin,PL,Deblin Military Air Base - Dęblin
891,EPGD,Gdańsk Lech Wałęsa Airport,Gdańsk,PL,Gdańsk Lech Wałęsa Airport - Gdańsk
892,EPIR,Inowroclaw Military Air Base,,PL,Inowroclaw Military Air Base - nan
893,EPKK,Kraków John Paul II International Airport,Kraków,PL,Kraków John Paul II International Airport - Kraków
894,EPKS,Krzesiny Military Air Base,,PL,Krzesiny Military Air Base - nan
895,EPKT,Katowice International Airport,Katowice,PL,Katowice International Airport - Katowice
896,EPLK,Lask Military Air Base,,PL,Lask Military Air Base - nan
897,EPLL,Łódź Władysław Reymont Airport,Łódź,PL,Łódź Władysław Reymont Airport - Łódź
898,EPLS,Leszno-Strzyzewice Airport,Leszno,PL,Leszno-Strzyzewice Airport - Leszno
899,EPLY,Leczyca Military Air Base,Leczyca,PL,Leczyca Military Air Base - Leczyca
900,EPMB,Malbork Military Air Base,,PL,Malbork Military Air Base - nan
901,EPMI,Miroslawiec Military Air Base,Mirosławiec,PL,Miroslawiec Military Air Base - Mirosławiec
902,EPMM,Minsk Mazowiecki Military Air Base,,PL,Minsk Mazowiecki Military Air Base - nan
903,EPMO,Modlin Airport,Warsaw,PL,Modlin Airport - Warsaw
904,EPOK,Oksywie Military Air Base,Gdynia,PL,Oksywie Military Air Base - Gdynia
905,EPPO,Poznań-Ławica Airport,Poznań,PL,Poznań-Ławica Airport - Poznań
906,EPPW,Powidz Military Air Base,,PL,Powidz Military Air Base - nan
907,EPRA,Radom Airport,Radom,PL,Radom Airport - Radom
908,EPRZ,Rzeszów-Jasionka Airport,Rzeszów,PL,Rzeszów-Jasionka Airport - Rzeszów
909,EPSC,"Szczecin-Goleniów ""Solidarność"" Airport",Goleniow,PL,"Szczecin-Goleniów ""Solidarność"" Airport - Goleniow"
910,EPSN,Swidwin Military Air Base,,PL,Swidwin Military Air Base - nan
911,EPSY,Olsztyn-Mazury Airport,Olsztyn,PL,Olsztyn-Mazury Airport - Olsztyn
912,EPTM,Tomaszow Mazowiecki Military Air Base,Tomaszów Mazowiecki,PL,Tomaszow Mazowiecki Military Air Base - Tomaszów Mazowiecki
913,EPWA,Warsaw Chopin Airport,Warsaw,PL,Warsaw Chopin Airport - Warsaw
914,EPWR,Copernicus Wrocław Airport,Wrocław,PL,Copernicus Wrocław Airport - Wrocław
915,EPZG,Zielona Góra-Babimost Airport,Babimost,PL,Zielona Góra-Babimost Airport - Babimost
916,ES-0109,Folgueroles Airfield,Folgueroles,ES,Folgueroles Airfield - Folgueroles
917,ESCF,Malmen Air Base,Linköping,SE,Malmen Air Base - Linköping
918,ESDF,Ronneby Airport,Ronneby,SE,Ronneby Airport - Ronneby
919,ESFR,Råda Air Base,Råda,SE,Råda Air Base - Råda
920,ESGG,Gothenburg-Landvetter Airport,Gothenburg,SE,Gothenburg-Landvetter Airport - Gothenburg
921,ESGJ,Jönköping Airport,Jönköping,SE,Jönköping Airport - Jönköping
922,ESGP,Gothenburg City Airport,Gothenburg,SE,Gothenburg City Airport - Gothenburg
923,ESGR,Skövde Airport,Skövde,SE,Skövde Airport - Skövde
924,ESGT,Trollhättan-Vänersborg Airport,Trollhättan,SE,Trollhättan-Vänersborg Airport - Trollhättan
925,ESIB,Såtenäs Air Base,Såtenäs,SE,Såtenäs Air Base - Såtenäs
926,ESKK,Karlskoga Airport,,SE,Karlskoga Airport - nan
927,ESKM,Mora Airport,Mora,SE,Mora Airport - Mora
928,ESKN,Stockholm Skavsta Airport,Stockholm,SE,Stockholm Skavsta Airport - Stockholm
929,ESKS,Scandinavian Mountains Airport,Sälen / Trysil,SE,Scandinavian Mountains Airport - Sälen / Trysil
930,ESKX,Björkvik Air Base,Björkvik,SE,Björkvik Air Base - Björkvik
931,ESMK,Kristianstad Airport,Kristianstad,SE,Kristianstad Airport - Kristianstad
932,ESMQ,Kalmar Airport,Kalmar,SE,Kalmar Airport - Kalmar
933,ESMS,Malmö Sturup Airport,Malmö,SE,Malmö Sturup Airport - Malmö
934,ESMT,Halmstad Airport,Halmstad,SE,Halmstad Airport - Halmstad
935,ESMX,Växjö Kronoberg Airport,Växjö,SE,Växjö Kronoberg Airport - Växjö
936,ESND,Sveg Airport,Sveg,SE,Sveg Airport - Sveg
937,ESNG,Gällivare Airport,Gällivare,SE,Gällivare Airport - Gällivare
938,ESNK,Kramfors-Sollefteå Höga Kusten Airport,Nyland,SE,Kramfors-Sollefteå Höga Kusten Airport - Nyland
939,ESNL,Lycksele Airport,Lycksele,SE,Lycksele Airport - Lycksele
940,ESNN,Sundsvall-Härnösand Airport,Sundsvall/ Härnösand,SE,Sundsvall-Härnösand Airport - Sundsvall/ Härnösand
941,ESNO,Örnsköldsvik Airport,Örnsköldsvik,SE,Örnsköldsvik Airport - Örnsköldsvik
942,ESNQ,Kiruna Airport,Kiruna,SE,Kiruna Airport - Kiruna
943,ESNS,Skellefteå Airport,Skellefteå,SE,Skellefteå Airport - Skellefteå
944,ESNU,Umeå Airport,Umeå,SE,Umeå Airport - Umeå
