,depart_airport,depart_date,depart_time,arrival_time,arrival_date,dest_airport,airline
5360,North Bay Jack Garland Airport - North Bay,2022-06-29,22:21,00:38,2022-06-29,St. John's International Airport - St. John's,Tigerair
5361,St. John's International Airport - St. John's,2022-06-30,08:38,10:17,2022-06-30,Churchill Airport - Churchill,Aerolineas Argentinas
5362,Churchill Airport - Churchill,2022-06-29,12:24,18:35,2022-06-29,Goose Bay Airport - Goose Bay,Jetstar
5363,St Leonard Airport - St Leonard,2022-06-29,05:06,09:49,2022-06-29,Beaver Creek Airport - Beaver Creek,Federal Express Corporation
5364,Abbotsford International Airport - Abbotsford,2022-06-09,20:26,01:04,2022-06-09,Mont Joli Airport - Mont-Joli,Virgin Atlantic Airways
5365,Timmins/Victor M. Power - Timmins,2022-06-16,02:32,07:29,2022-06-16,Gore Bay Manitoulin Airport - Gore Bay,Air Paradise International
5366,Northwest Regional Airport Terrace-Kitimat - Terrace,2022-06-12,21:37,23:38,2022-06-12,Lynn Lake Airport - Lynn Lake,Pan American
5367,Fort St John Airport - Fort St.John,2022-06-08,02:05,03:58,2022-06-08,Timmins/Victor M. Power - Timmins,AirAsia X
5368,Fort Nelson Airport - Fort Nelson,2022-06-12,10:33,16:19,2022-06-12,Taloyoak Airport - Taloyoak,Emirates
5369,North Bay Jack Garland Airport - North Bay,2022-06-27,03:27,07:10,2022-06-27,Goose Bay Airport - Goose Bay,Cebu Pacific Air
5370,Fort Nelson Airport - Fort Nelson,2022-06-21,01:02,03:35,2022-06-21,Fort St John Airport - Fort St.John,China Eastern Airlines
5371,Timmins/Victor M. Power - Timmins,2022-06-14,04:55,10:10,2022-06-14,Kapuskasing Airport - Kapuskasing,Continental Airlines
5372,Victoria International Airport - Victoria,2022-06-21,09:00,09:55,2022-06-21,Northwest Regional Airport Terrace-Kitimat - Terrace,Air Mauritius
5373,Beaver Creek Airport - Beaver Creek,2022-06-06,14:03,19:42,2022-06-06,Lester B. Pearson International Airport - Toronto,LAN Airlines
5374,Beaver Creek Airport - Beaver Creek,2022-06-08,07:21,12:13,2022-06-08,St Leonard Airport - St Leonard,Air China
5375,Gore Bay Manitoulin Airport - Gore Bay,2022-06-19,03:07,08:17,2022-06-19,Lester B. Pearson International Airport - Toronto,Airlines PNG
5376,Northwest Regional Airport Terrace-Kitimat - Terrace,2022-06-06,03:02,06:18,2022-06-06,Timmins/Victor M. Power - Timmins,Air France
5377,Beaver Creek Airport - Beaver Creek,2022-06-12,15:47,17:37,2022-06-12,Abbotsford International Airport - Abbotsford,SkyAirWorld
5378,Kapuskasing Airport - Kapuskasing,2022-06-04,21:11,01:56,2022-06-04,Downsview Airport - Toronto,Northwest Airlines
5379,Armstrong Airport - Armstrong,2022-06-06,06:45,10:10,2022-06-06,Lester B. Pearson International Airport - Toronto,Tigerair Australia
5380,Armstrong Airport - Armstrong,2022-06-10,22:53,04:06,2022-06-10,Kapuskasing Airport - Kapuskasing,Australian Airlines
5381,Taloyoak Airport - Taloyoak,2022-06-04,11:33,11:58,2022-06-04,Fort St John Airport - Fort St.John,Jetstar
5382,Churchill Airport - Churchill,2022-06-28,09:47,15:21,2022-06-28,Victoria International Airport - Victoria,Batik Air Indonesia
5383,Armstrong Airport - Armstrong,2022-06-16,12:14,16:30,2022-06-16,Beaver Creek Airport - Beaver Creek,Evergreen Intl Airlines
5384,Downsview Airport - Toronto,2022-06-10,12:02,13:17,2022-06-10,Victoria International Airport - Victoria,Kiwi Travel Intl Airlines
5385,Northwest Regional Airport Terrace-Kitimat - Terrace,2022-06-21,19:03,00:16,2022-06-21,Churchill Airport - Churchill,Polynesian Airlines
5386,Fort St John Airport - Fort St.John,2022-06-28,09:30,12:00,2022-06-28,Abbotsford International Airport - Abbotsford,Air Austral
5387,Whale Cove Airport - Whale Cove,2022-06-05,10:02,11:36,2022-06-05,La Ronge Airport - La Ronge,Air Vanuatu
5388,Bonaventure Airport - Bonaventure,2022-06-02,10:16,11:12,2022-06-02,Lynn Lake Airport - Lynn Lake,Cebu Pacific Air
5389,London Airport - London,2022-06-07,13:28,18:42,2022-06-07,Taloyoak Airport - Taloyoak,Cook Islands International
5390,London Airport - London,2022-06-09,18:20,20:31,2022-06-09,St Leonard Airport - St Leonard,Ansett International
5391,Victoria International Airport - Victoria,2022-06-21,05:51,08:59,2022-06-21,Taloyoak Airport - Taloyoak,Aerolineas Argentinas
5392,Lester B. Pearson International Airport - Toronto,2022-06-19,01:16,01:55,2022-06-19,St. John's International Airport - St. John's,Sempati Air
5393,La Ronge Airport - La Ronge,2022-06-06,13:44,17:25,2022-06-06,London Airport - London,Hong Kong Airlines
5394,Goose Bay Airport - Goose Bay,2022-06-28,23:35,03:35,2022-06-28,London Airport - London,United Airlines
5395,Mont Joli Airport - Mont-Joli,2022-06-05,09:42,11:03,2022-06-05,London Airport - London,EgyptAir
5396,Swift Current Airport - Swift Current,2022-06-20,06:58,11:18,2022-06-20,Fort Nelson Airport - Fort Nelson,National Airlines
5397,Armstrong Airport - Armstrong,2022-06-26,07:17,09:04,2022-06-26,London Airport - London,Royal Brunei Airlines
5398,Mont Joli Airport - Mont-Joli,2022-06-12,17:51,23:10,2022-06-12,Churchill Airport - Churchill,Air Tahiti Nui
5399,St Leonard Airport - St Leonard,2022-06-24,12:16,17:31,2022-06-24,La Ronge Airport - La Ronge,Citilink Indonesia
5400,Armstrong Airport - Armstrong,2022-06-19,13:20,13:42,2022-06-19,Fort Smith Airport - Fort Smith,Donghai Airlines
5401,Lynn Lake Airport - Lynn Lake,2022-06-08,21:23,01:26,2022-06-08,St. John's International Airport - St. John's,Air Mauritius
5402,Beaver Creek Airport - Beaver Creek,2022-06-29,04:16,08:17,2022-06-29,Fort Smith Airport - Fort Smith,Pacific Air Express
5403,Fort Smith Airport - Fort Smith,2022-06-07,03:37,07:49,2022-06-07,Taloyoak Airport - Taloyoak,Virgin Samoa
5404,Timmins/Victor M. Power - Timmins,2022-06-26,02:41,04:16,2022-06-26,Northwest Regional Airport Terrace-Kitimat - Terrace,Gulf Air
5405,Whale Cove Airport - Whale Cove,2022-06-30,15:57,20:55,2022-06-30,Kapuskasing Airport - Kapuskasing,Gulf Air
5406,Downsview Airport - Toronto,2022-06-13,13:47,17:10,2022-06-13,Kapuskasing Airport - Kapuskasing,All Nippon Airways
5407,Lester B. Pearson International Airport - Toronto,2022-06-29,12:28,12:57,2022-06-29,St Leonard Airport - St Leonard,Jin Air
5408,Medicine Hat Regional Airport - Medicine Hat,2022-06-16,07:07,10:38,2022-06-16,Churchill Airport - Churchill,Mandarin Airlines
5409,Armstrong Airport - Armstrong,2022-06-30,19:43,20:08,2022-06-30,Victoria International Airport - Victoria,Connie Kalitta Services
5410,London Airport - London,2022-06-21,15:39,18:15,2022-06-21,Fort Smith Airport - Fort Smith,Aegean Airlines
5411,St. John's International Airport - St. John's,2022-06-30,19:22,20:56,2022-06-30,Fort St John Airport - Fort St.John,Australian Airlines
5412,Timmins/Victor M. Power - Timmins,2022-06-16,21:56,02:51,2022-06-16,Downsview Airport - Toronto,Yugoslav Airlines
5413,Medicine Hat Regional Airport - Medicine Hat,2022-06-06,09:28,13:03,2022-06-06,Lester B. Pearson International Airport - Toronto,Virgin Atlantic Airways
5414,Whale Cove Airport - Whale Cove,2022-06-18,23:10,02:27,2022-06-18,Bonaventure Airport - Bonaventure,Pacific Air Express
5415,North Bay Jack Garland Airport - North Bay,2022-06-09,13:45,17:29,2022-06-09,Beaver Creek Airport - Beaver Creek,Australia Asia Airlines
5416,Whale Cove Airport - Whale Cove,2022-06-07,19:18,01:53,2022-06-07,Fort St John Airport - Fort St.John,Hainan Airlines
5417,Fort Nelson Airport - Fort Nelson,2022-06-24,15:23,22:02,2022-06-24,Downsview Airport - Toronto,V Australia
5418,Armstrong Airport - Armstrong,2022-06-03,01:29,07:32,2022-06-03,Lester B. Pearson International Airport - Toronto,United Parcel Service
5419,Abbotsford International Airport - Abbotsford,2022-06-11,12:23,13:49,2022-06-11,Whale Cove Airport - Whale Cove,Airnorth
5420,London Airport - London,2022-06-29,12:11,14:27,2022-06-29,Swift Current Airport - Swift Current,Sempati Air
5421,North Bay Jack Garland Airport - North Bay,2022-06-24,22:02,03:58,2022-06-24,Churchill Airport - Churchill,Austrian Airlines
5422,Lester B. Pearson International Airport - Toronto,2022-06-03,20:29,22:18,2022-06-03,Beaver Creek Airport - Beaver Creek,Air Canada
5423,Gore Bay Manitoulin Airport - Gore Bay,2022-06-08,17:13,22:56,2022-06-08,St. John's International Airport - St. John's,Malaysia Airlines
5424,Medicine Hat Regional Airport - Medicine Hat,2022-06-25,14:57,19:45,2022-06-25,Timmins/Victor M. Power - Timmins,Batik Air Indonesia
5425,Abbotsford International Airport - Abbotsford,2022-06-09,17:17,20:08,2022-06-09,Goose Bay Airport - Goose Bay,Kiwi Travel Intl Airlines
5426,Downsview Airport - Toronto,2022-06-16,19:43,21:02,2022-06-16,Victoria International Airport - Victoria,Jin Air
5427,Victoria International Airport - Victoria,2022-06-20,08:57,11:04,2022-06-20,Swift Current Airport - Swift Current,Polar Air Cargo
5428,Bonaventure Airport - Bonaventure,2022-06-04,18:54,21:23,2022-06-04,Whale Cove Airport - Whale Cove,Sempati Air
5429,La Ronge Airport - La Ronge,2022-06-18,17:03,23:12,2022-06-18,Beaver Creek Airport - Beaver Creek,Thai AirAsia X
5430,Fort St John Airport - Fort St.John,2022-06-15,19:37,01:05,2022-06-15,North Bay Jack Garland Airport - North Bay,Air Nauru
5431,Victoria International Airport - Victoria,2022-06-20,06:51,10:03,2022-06-20,Beaver Creek Airport - Beaver Creek,Flight West Airlines
5432,Goose Bay Airport - Goose Bay,2022-06-02,07:40,12:07,2022-06-02,Churchill Airport - Churchill,Air Nauru
5433,Goose Bay Airport - Goose Bay,2022-06-07,23:49,00:14,2022-06-07,Taloyoak Airport - Taloyoak,Norfolk Jet Express
5434,Taloyoak Airport - Taloyoak,2022-06-25,03:46,07:57,2022-06-25,Kapuskasing Airport - Kapuskasing,Air France
5435,Abbotsford International Airport - Abbotsford,2022-06-20,04:08,10:19,2022-06-20,Victoria International Airport - Victoria,American Airlines
5436,Timmins/Victor M. Power - Timmins,2022-06-11,11:46,17:50,2022-06-11,Swift Current Airport - Swift Current,Continental Airlines
5437,North Bay Jack Garland Airport - North Bay,2022-06-12,15:30,21:01,2022-06-12,Timmins/Victor M. Power - Timmins,Solomon Airlines
5438,Churchill Airport - Churchill,2022-06-21,00:24,03:47,2022-06-21,Beaver Creek Airport - Beaver Creek,Air Canada
5439,Taloyoak Airport - Taloyoak,2022-06-07,21:44,02:58,2022-06-07,La Ronge Airport - La Ronge,Etihad Airways
5440,Medicine Hat Regional Airport - Medicine Hat,2022-06-25,07:11,09:00,2022-06-25,Beaver Creek Airport - Beaver Creek,Aerolineas Argentinas
5441,Mont Joli Airport - Mont-Joli,2022-06-15,11:51,17:33,2022-06-15,Churchill Airport - Churchill,Connie Kalitta Services
5442,Fort Smith Airport - Fort Smith,2022-06-21,20:15,01:32,2022-06-21,La Ronge Airport - La Ronge,National Airlines
5443,Goose Bay Airport - Goose Bay,2022-06-18,14:55,19:18,2022-06-18,Whale Cove Airport - Whale Cove,Eva Air
5444,Fort Smith Airport - Fort Smith,2022-06-16,13:40,16:55,2022-06-16,Lynn Lake Airport - Lynn Lake,Evergreen Intl Airlines
5445,Beaver Creek Airport - Beaver Creek,2022-06-11,18:30,23:38,2022-06-11,Lester B. Pearson International Airport - Toronto,United Airlines
5446,Lynn Lake Airport - Lynn Lake,2022-06-30,14:34,16:58,2022-06-30,Fort St John Airport - Fort St.John,Tasman Cargo Airlines
5447,Medicine Hat Regional Airport - Medicine Hat,2022-06-28,15:33,18:44,2022-06-28,Abbotsford International Airport - Abbotsford,United Parcel Service
5448,North Bay Jack Garland Airport - North Bay,2022-06-22,10:34,14:13,2022-06-22,Northwest Regional Airport Terrace-Kitimat - Terrace,Indonesia AirAsia Extra
5449,Bonaventure Airport - Bonaventure,2022-06-11,10:10,13:08,2022-06-11,Goose Bay Airport - Goose Bay,Cebu Pacific Air
5450,Churchill Airport - Churchill,2022-06-21,20:45,03:16,2022-06-21,Bonaventure Airport - Bonaventure,Virgin Australia
5451,Northwest Regional Airport Terrace-Kitimat - Terrace,2022-06-26,12:01,13:50,2022-06-26,St Leonard Airport - St Leonard,Polynesian Airlines
5452,Fort Smith Airport - Fort Smith,2022-06-01,07:29,13:51,2022-06-01,Fort Nelson Airport - Fort Nelson,Beijing Capital Airlines
5453,Northwest Regional Airport Terrace-Kitimat - Terrace,2022-06-21,04:16,05:44,2022-06-21,Timmins/Victor M. Power - Timmins,Tigerair Australia
5454,Kapuskasing Airport - Kapuskasing,2022-06-20,12:56,13:19,2022-06-20,Gore Bay Manitoulin Airport - Gore Bay,Air Caledonie
5455,Timmins/Victor M. Power - Timmins,2022-06-06,10:29,15:28,2022-06-06,North Bay Jack Garland Airport - North Bay,Asian Express Airlines
5456,Churchill Airport - Churchill,2022-06-21,21:21,02:50,2022-06-21,Kapuskasing Airport - Kapuskasing,Air Paradise International
5457,Churchill Airport - Churchill,2022-06-10,07:15,08:25,2022-06-10,Kapuskasing Airport - Kapuskasing,Cebu Pacific Air
5458,La Ronge Airport - La Ronge,2022-06-27,06:19,06:57,2022-06-27,Beaver Creek Airport - Beaver Creek,Air Caledonie
5459,Victoria International Airport - Victoria,2022-06-08,00:08,06:16,2022-06-08,Fort Nelson Airport - Fort Nelson,AirAsia X
5460,Whale Cove Airport - Whale Cove,2022-06-01,01:15,05:14,2022-06-01,Victoria International Airport - Victoria,Garuda Indonesia
5461,Abbotsford International Airport - Abbotsford,2022-06-07,05:13,09:43,2022-06-07,Timmins/Victor M. Power - Timmins,Solomon Airlines
5462,Churchill Airport - Churchill,2022-06-20,08:34,12:25,2022-06-20,St Leonard Airport - St Leonard,Indonesia AirAsia Extra
5463,Downsview Airport - Toronto,2022-06-19,16:06,22:03,2022-06-19,Whale Cove Airport - Whale Cove,Garuda Indonesia
5464,Medicine Hat Regional Airport - Medicine Hat,2022-06-08,07:59,11:39,2022-06-08,Kapuskasing Airport - Kapuskasing,Lufthansa German Airlines
5465,Churchill Airport - Churchill,2022-06-04,08:09,13:41,2022-06-04,Whale Cove Airport - Whale Cove,Cebu Pacific Air
5466,Bonaventure Airport - Bonaventure,2022-06-05,19:56,01:12,2022-06-05,Fort St John Airport - Fort St.John,Aegean Airlines
5467,Fort Smith Airport - Fort Smith,2022-06-30,14:35,20:50,2022-06-30,La Ronge Airport - La Ronge,Middle East Airlines
5468,Kapuskasing Airport - Kapuskasing,2022-06-12,19:19,23:32,2022-06-12,Medicine Hat Regional Airport - Medicine Hat,Pacific Air Express
5469,Churchill Airport - Churchill,2022-06-21,10:50,13:45,2022-06-21,Goose Bay Airport - Goose Bay,Scoot Tigerair
5470,Bonaventure Airport - Bonaventure,2022-06-12,14:26,19:48,2022-06-12,Lester B. Pearson International Airport - Toronto,Continental Micronesia
5471,Taloyoak Airport - Taloyoak,2022-06-09,00:40,03:41,2022-06-09,St. John's International Airport - St. John's,Japan Airlines
5472,Armstrong Airport - Armstrong,2022-06-09,16:13,17:10,2022-06-09,Taloyoak Airport - Taloyoak,Olympic Airways
5473,Abbotsford International Airport - Abbotsford,2022-06-03,07:33,13:44,2022-06-03,Timmins/Victor M. Power - Timmins,Gemini Air Cargo
5474,Fort St John Airport - Fort St.John,2022-06-22,06:12,06:56,2022-06-22,Timmins/Victor M. Power - Timmins,China Southern Airlines
5475,Fort St John Airport - Fort St.John,2022-06-17,09:40,10:52,2022-06-17,Churchill Airport - Churchill,Olympic Airways
5476,London Airport - London,2022-06-18,18:11,20:13,2022-06-18,Churchill Airport - Churchill,United Parcel Service
5477,Goose Bay Airport - Goose Bay,2022-06-16,23:43,05:40,2022-06-16,North Bay Jack Garland Airport - North Bay,Our Airline
5478,North Bay Jack Garland Airport - North Bay,2022-06-15,09:24,09:59,2022-06-15,Swift Current Airport - Swift Current,Jin Air
5479,Bonaventure Airport - Bonaventure,2022-06-05,00:42,04:23,2022-06-05,Beaver Creek Airport - Beaver Creek,China Southern Airlines
5480,Bonaventure Airport - Bonaventure,2022-06-16,11:08,12:13,2022-06-16,North Bay Jack Garland Airport - North Bay,Qatar Airways
5481,Fort St John Airport - Fort St.John,2022-06-04,02:52,03:32,2022-06-04,La Ronge Airport - La Ronge,Tasman Cargo Airlines
5482,Goose Bay Airport - Goose Bay,2022-06-14,16:38,20:19,2022-06-14,Mont Joli Airport - Mont-Joli,Sichuan Airlines
5483,Victoria International Airport - Victoria,2022-06-11,02:15,03:17,2022-06-11,London Airport - London,Indonesia AirAsia Extra
5484,Fort Nelson Airport - Fort Nelson,2022-06-09,05:57,12:32,2022-06-09,Northwest Regional Airport Terrace-Kitimat - Terrace,Air Mauritius
5485,Beaver Creek Airport - Beaver Creek,2022-06-11,23:59,06:05,2022-06-11,Goose Bay Airport - Goose Bay,Malaysia Airlines
5486,Goose Bay Airport - Goose Bay,2022-06-20,05:48,06:41,2022-06-20,Timmins/Victor M. Power - Timmins,Air Chathams
5487,North Bay Jack Garland Airport - North Bay,2022-06-30,15:08,15:29,2022-06-30,Lester B. Pearson International Airport - Toronto,Cargolux Airlines Intl
5488,London Airport - London,2022-06-16,21:08,00:37,2022-06-16,Goose Bay Airport - Goose Bay,Connie Kalitta Services
5489,Timmins/Victor M. Power - Timmins,2022-06-05,20:46,00:14,2022-06-05,Medicine Hat Regional Airport - Medicine Hat,China Airlines
5490,Armstrong Airport - Armstrong,2022-06-09,04:56,09:01,2022-06-09,Whale Cove Airport - Whale Cove,Jetstar Asia
5491,North Bay Jack Garland Airport - North Bay,2022-06-23,08:30,11:18,2022-06-23,Kapuskasing Airport - Kapuskasing,Tigerair Australia
5492,Kapuskasing Airport - Kapuskasing,2022-06-29,08:48,12:02,2022-06-29,Fort Nelson Airport - Fort Nelson,Norfolk Jet Express
5493,North Bay Jack Garland Airport - North Bay,2022-06-12,21:48,00:02,2022-06-12,Fort Smith Airport - Fort Smith,Solomon Airlines
5494,St. John's International Airport - St. John's,2022-06-12,14:50,19:24,2022-06-12,Northwest Regional Airport Terrace-Kitimat - Terrace,Ansett International
5495,Taloyoak Airport - Taloyoak,2022-06-26,07:37,08:18,2022-06-26,Churchill Airport - Churchill,Air Caledonie
5496,Abbotsford International Airport - Abbotsford,2022-06-29,16:49,22:32,2022-06-29,Fort Smith Airport - Fort Smith,Air Austral
5497,Mont Joli Airport - Mont-Joli,2022-06-28,20:07,23:57,2022-06-28,London Airport - London,Cebu Pacific Air
5498,Bonaventure Airport - Bonaventure,2022-06-11,16:01,16:39,2022-06-11,Timmins/Victor M. Power - Timmins,Air New Zealand
5499,Fort St John Airport - Fort St.John,2022-06-05,03:18,09:21,2022-06-05,Armstrong Airport - Armstrong,Australia Asia Airlines
5500,Timmins/Victor M. Power - Timmins,2022-06-02,05:02,06:17,2022-06-02,Mont Joli Airport - Mont-Joli,OzJet
5501,Northwest Regional Airport Terrace-Kitimat - Terrace,2022-06-18,20:11,02:01,2022-06-18,Fort Nelson Airport - Fort Nelson,Royal Tongan Airlines
5502,Lester B. Pearson International Airport - Toronto,2022-06-08,13:50,20:08,2022-06-08,Abbotsford International Airport - Abbotsford,British Airways
5503,Bonaventure Airport - Bonaventure,2022-06-16,17:57,19:33,2022-06-16,Lynn Lake Airport - Lynn Lake,Eva Air
5504,North Bay Jack Garland Airport - North Bay,2022-06-09,13:24,17:54,2022-06-09,Beaver Creek Airport - Beaver Creek,All Nippon Airways
5505,Taloyoak Airport - Taloyoak,2022-06-21,19:13,21:06,2022-06-21,Medicine Hat Regional Airport - Medicine Hat,KLM Royal Dutch Airlines
5506,Churchill Airport - Churchill,2022-06-02,11:29,13:44,2022-06-02,Downsview Airport - Toronto,Virgin Australia
5507,Beaver Creek Airport - Beaver Creek,2022-06-29,22:16,22:37,2022-06-29,St Leonard Airport - St Leonard,Swissair
5508,Bonaventure Airport - Bonaventure,2022-06-28,06:02,06:34,2022-06-28,Mont Joli Airport - Mont-Joli,Yugoslav Airlines
5509,Beaver Creek Airport - Beaver Creek,2022-06-17,15:56,16:16,2022-06-17,Fort Nelson Airport - Fort Nelson,Scoot Tigerair
5510,North Bay Jack Garland Airport - North Bay,2022-06-08,16:42,22:43,2022-06-08,Medicine Hat Regional Airport - Medicine Hat,Hawaiian Airlines
5511,Churchill Airport - Churchill,2022-06-07,06:04,08:57,2022-06-07,Fort St John Airport - Fort St.John,Etihad Airways
5512,Swift Current Airport - Swift Current,2022-06-20,19:32,22:31,2022-06-20,Kapuskasing Airport - Kapuskasing,Asian Express Airlines
5513,Taloyoak Airport - Taloyoak,2022-06-22,20:06,22:59,2022-06-22,London Airport - London,British Airways
5514,Victoria International Airport - Victoria,2022-06-04,01:32,07:24,2022-06-04,Northwest Regional Airport Terrace-Kitimat - Terrace,Mandarin Airlines
5515,Timmins/Victor M. Power - Timmins,2022-06-03,18:42,19:54,2022-06-03,Fort Nelson Airport - Fort Nelson,SkyAirWorld
5516,Mont Joli Airport - Mont-Joli,2022-06-19,05:46,12:12,2022-06-19,Northwest Regional Airport Terrace-Kitimat - Terrace,Jetstar
5517,Downsview Airport - Toronto,2022-06-30,00:52,06:04,2022-06-30,La Ronge Airport - La Ronge,Malaysia Airlines
5518,Gore Bay Manitoulin Airport - Gore Bay,2022-06-08,17:06,20:43,2022-06-08,Beaver Creek Airport - Beaver Creek,Freedom Air International
5519,Medicine Hat Regional Airport - Medicine Hat,2022-06-09,12:08,18:45,2022-06-09,Swift Current Airport - Swift Current,Virgin Australia
5520,Bonaventure Airport - Bonaventure,2022-06-09,14:52,19:31,2022-06-09,St. John's International Airport - St. John's,South African Airways
5521,La Ronge Airport - La Ronge,2022-06-11,12:18,15:13,2022-06-11,London Airport - London,Jin Air
5522,St Leonard Airport - St Leonard,2022-06-06,15:26,18:36,2022-06-06,Fort Nelson Airport - Fort Nelson,Virgin Australia
5523,Abbotsford International Airport - Abbotsford,2022-06-13,23:39,01:42,2022-06-13,Victoria International Airport - Victoria,Cargolux Airlines Intl
5524,Mont Joli Airport - Mont-Joli,2022-06-09,19:57,22:38,2022-06-09,Taloyoak Airport - Taloyoak,South African Airways
5525,Lynn Lake Airport - Lynn Lake,2022-06-28,11:36,12:04,2022-06-28,La Ronge Airport - La Ronge,United Airlines
5526,Lester B. Pearson International Airport - Toronto,2022-06-02,10:32,15:14,2022-06-02,Churchill Airport - Churchill,Emirates
5527,Abbotsford International Airport - Abbotsford,2022-06-04,05:00,06:21,2022-06-04,London Airport - London,AOM French Airlines
5528,Medicine Hat Regional Airport - Medicine Hat,2022-06-08,22:59,02:37,2022-06-08,Fort St John Airport - Fort St.John,MBA Pty Ltd
5529,North Bay Jack Garland Airport - North Bay,2022-06-25,00:17,00:59,2022-06-25,Northwest Regional Airport Terrace-Kitimat - Terrace,Qantas Airways
5530,North Bay Jack Garland Airport - North Bay,2022-06-17,18:25,19:33,2022-06-17,Lester B. Pearson International Airport - Toronto,Air China
5531,Goose Bay Airport - Goose Bay,2022-06-16,18:27,22:20,2022-06-16,Taloyoak Airport - Taloyoak,Royal Tongan Airlines
5532,Fort St John Airport - Fort St.John,2022-06-16,01:19,05:27,2022-06-16,Beaver Creek Airport - Beaver Creek,Tigerair
5533,Victoria International Airport - Victoria,2022-06-18,11:39,13:58,2022-06-18,Lynn Lake Airport - Lynn Lake,Hawaiian Airlines
5534,Downsview Airport - Toronto,2022-06-30,13:26,13:55,2022-06-30,Timmins/Victor M. Power - Timmins,Royal Tongan Airlines
5535,North Bay Jack Garland Airport - North Bay,2022-06-20,09:02,13:48,2022-06-20,Taloyoak Airport - Taloyoak,Air Chathams
5536,Northwest Regional Airport Terrace-Kitimat - Terrace,2022-06-26,11:12,12:04,2022-06-26,Kapuskasing Airport - Kapuskasing,Scoot Tigerair
5537,Kapuskasing Airport - Kapuskasing,2022-06-03,08:23,13:24,2022-06-03,Lester B. Pearson International Airport - Toronto,Air Niugini
5538,Swift Current Airport - Swift Current,2022-06-10,16:45,17:06,2022-06-10,St. John's International Airport - St. John's,Sempati Air
5539,Medicine Hat Regional Airport - Medicine Hat,2022-06-18,08:02,09:01,2022-06-18,St. John's International Airport - St. John's,Xiamen Airlines
5540,Medicine Hat Regional Airport - Medicine Hat,2022-06-22,23:54,05:00,2022-06-22,Bonaventure Airport - Bonaventure,Air France
5541,Kapuskasing Airport - Kapuskasing,2022-06-13,09:21,15:11,2022-06-13,Bonaventure Airport - Bonaventure,South African Airways
5542,Gore Bay Manitoulin Airport - Gore Bay,2022-06-16,12:08,13:55,2022-06-16,St Leonard Airport - St Leonard,Royal Tongan Airlines
5543,Fort Smith Airport - Fort Smith,2022-06-12,06:41,07:52,2022-06-12,La Ronge Airport - La Ronge,Tasman Cargo Airlines
5544,Churchill Airport - Churchill,2022-06-08,01:08,01:29,2022-06-08,Gore Bay Manitoulin Airport - Gore Bay,Virgin Atlantic Airways
5545,Gore Bay Manitoulin Airport - Gore Bay,2022-06-12,21:32,00:07,2022-06-12,Armstrong Airport - Armstrong,Scoot Tigerair
5546,Swift Current Airport - Swift Current,2022-06-06,12:06,14:00,2022-06-06,St. John's International Airport - St. John's,MBA Pty Ltd
5547,Lester B. Pearson International Airport - Toronto,2022-06-06,00:33,05:40,2022-06-06,St Leonard Airport - St Leonard,National Jet Systems
5548,La Ronge Airport - La Ronge,2022-06-09,18:42,23:58,2022-06-09,Taloyoak Airport - Taloyoak,China Southern Airlines
5549,Goose Bay Airport - Goose Bay,2022-06-16,07:53,11:37,2022-06-16,Armstrong Airport - Armstrong,Cathay Pacific Airways
5550,Downsview Airport - Toronto,2022-06-12,22:23,04:55,2022-06-12,Fort Nelson Airport - Fort Nelson,United Airlines
5551,Gore Bay Manitoulin Airport - Gore Bay,2022-06-13,21:52,01:33,2022-06-13,Lester B. Pearson International Airport - Toronto,Air Caledonie
5552,Timmins/Victor M. Power - Timmins,2022-06-25,14:54,18:30,2022-06-25,Mont Joli Airport - Mont-Joli,Eva Air
5553,Lester B. Pearson International Airport - Toronto,2022-06-02,11:17,17:41,2022-06-02,Medicine Hat Regional Airport - Medicine Hat,Australian Airlines
5554,Churchill Airport - Churchill,2022-06-19,07:11,09:45,2022-06-19,Lynn Lake Airport - Lynn Lake,Merpati Nusantara Airlines
5555,Kapuskasing Airport - Kapuskasing,2022-06-24,19:56,21:36,2022-06-24,St Leonard Airport - St Leonard,Asiana Airlines
5556,St. John's International Airport - St. John's,2022-06-07,00:47,05:28,2022-06-07,London Airport - London,Martinair Holland
5557,St. John's International Airport - St. John's,2022-06-07,18:18,00:11,2022-06-07,Mont Joli Airport - Mont-Joli,SriLankan Airlines
5558,North Bay Jack Garland Airport - North Bay,2022-06-16,22:22,03:55,2022-06-16,Swift Current Airport - Swift Current,Air Caledonie
5559,St Leonard Airport - St Leonard,2022-06-11,23:44,01:58,2022-06-11,Taloyoak Airport - Taloyoak,Lauda Air
5560,Lynn Lake Airport - Lynn Lake,2022-06-14,17:19,19:11,2022-06-14,Swift Current Airport - Swift Current,Virgin Atlantic Airways
5561,Goose Bay Airport - Goose Bay,2022-06-10,20:34,00:14,2022-06-10,St. John's International Airport - St. John's,Royal Tongan Airlines
5562,Bonaventure Airport - Bonaventure,2022-06-17,19:26,23:14,2022-06-17,Fort Nelson Airport - Fort Nelson,Federal Express Corporation
5563,Swift Current Airport - Swift Current,2022-06-25,20:38,02:29,2022-06-25,Downsview Airport - Toronto,Australian Airlines
5564,Fort Nelson Airport - Fort Nelson,2022-06-05,18:33,21:03,2022-06-05,Kapuskasing Airport - Kapuskasing,Lauda Air
